Date,Open,High,Low,Close,Adj Close,Volume,BB_H_indicator,BB_l_indicator,BB_MA_indicator,RSI,Stoch,MACD,EMA_ind,EMA,Ichi,MA7,MA21,log_momentum
2010-09-22,2.8125,2.8725,2.795,2.8475,2.613968,99999600,2.8315450201510424,2.280704979848958,2.556125,71.11323581117985,1.0,0.08739852110281365,2.656528471777812,2.8216097901330657,2.58,2.700357142857143,2.550119047619048,0.6138333738402199
2010-09-23,2.88,2.995,2.855,2.905,2.666751,124087200,2.8891981670354214,2.2655518329645785,2.577375,73.40546234353913,1.0,0.10074564714711043,2.6947548607350718,2.8772032633776887,2.645,2.738928571428571,2.5727380952380954,0.6444820085786642
2010-09-24,2.97,3.075,2.9475,3.065,2.813631,108697600,2.9792882895370996,2.236961710462901,2.6081250000000002,78.51451731124018,1.0,0.12281823140236137,2.7517156513912147,3.002401087792563,2.7,2.799642857142857,2.600595238095238,0.7251302264129961
2010-09-27,3.0875,3.09,2.96,3.0,2.753961,99950400,3.0378831537643283,2.225366846235672,2.631625,72.42717487333525,0.7441224910616391,0.133526743495195,2.789913243484874,3.0008003625975213,2.7075,2.8507142857142855,2.6267857142857145,0.6931471805599453
2010-09-28,3.0025,3.035,2.94,2.9925,2.747077,72319200,3.082502593353023,2.2389974066469764,2.6607499999999997,71.73606372151431,0.7150720800273742,0.13979664050815366,2.8210804367948934,2.995266787532507,2.7075,2.9014285714285712,2.6488095238095237,0.6893901316822332
2010-09-29,2.965,3.0575,2.9375,2.97,2.726422,97490400,3.106616168384062,2.278633831615938,2.692625,69.59068770172217,0.6248925842490096,0.14132095707946712,2.8439911388264485,2.978422262510836,2.7075,2.9432142857142862,2.6754761904761906,0.6780335427498972
2010-09-30,3.0075,3.0425,2.895,2.92,2.680522,78763200,3.114826901824211,2.3274230981757884,2.721125,64.94266584995813,0.2500555508177876,0.13691612297346545,2.8556848097762257,2.939474087503612,2.7075,2.957142857142857,2.703452380952381,0.6523251860396901
2010-10-01,2.9625,2.9675,2.815,2.8375,2.604788,99912000,3.1096135663744344,2.3771364336255654,2.743375,58.05282742798092,0.0,0.12532354784228472,2.852887146733729,2.8714913625012044,2.7075,2.9557142857142855,2.7266666666666666,0.6084059521048546
2010-10-04,2.81,2.8575,2.7525,2.81,2.579544,74950000,3.1057999737831783,2.4144500262168216,2.760125,55.92305480365261,0.0,0.11261912518574979,2.846289124159309,2.830497120833735,2.7075,2.942142857142857,2.746547619047619,0.5933268452777344
2010-10-05,2.87,2.875,2.8225,2.83,2.597903,75358800,3.101661911139005,2.4518380888609945,2.77675,57.15417473183657,0.05449491938693538,0.10297755045272927,2.843783105057877,2.8301657069445785,2.7075,2.9085714285714284,2.7634523809523808,0.6043159668533296
2010-10-06,2.83,2.8425,2.6675,2.695,2.473975,105760400,3.0971903239694556,2.467809676030544,2.7824999999999998,47.50820394956645,0.0,0.08348084602711214,2.820893396587434,2.7400552356481924,2.7075,2.8649999999999998,2.7728571428571427,0.5276827408324135
2010-10-07,2.7075,2.71,2.595,2.675,2.455616,76148800,3.088818278295372,2.4891817217046284,2.789,46.26251912961554,0.0,0.06565885998394094,2.7984482586509056,2.696685078549397,2.7125,2.819642857142857,2.7773809523809527,0.5158131652770297
2010-10-08,2.665,2.7375,2.6275,2.715,2.492335,70693200,3.0742904815909973,2.5234595184090023,2.798875,49.13510106405218,0.0890667895446327,0.054138399579930496,2.785610065012305,2.708895026183132,2.7125,2.7832142857142856,2.7854761904761904,0.5394130806179032
2010-10-11,2.7275,2.75,2.69,2.7025,2.48086,44268000,3.072727804981384,2.529272195018616,2.801,48.26678428774637,0.06214390645949944,0.043498285023170435,2.772823901164258,2.7046316753943778,2.755,2.7521428571428572,2.7942857142857145,0.5320977590415304
2010-10-12,2.68,2.7675,2.6575,2.755,2.529055,60520800,3.068923652998352,2.5450763470016478,2.807,52.09585515165224,0.18086742995540042,0.03885434017074374,2.7700817625236027,2.7382105584647927,2.77625,2.740357142857143,2.798809523809524,0.5624688569178291
2010-10-13,2.8,2.875,2.77,2.835,2.602493,96873200,3.067354768510101,2.566145231489899,2.81675,57.284189413946606,0.3417360444541569,0.04115490371746677,2.7800691836738176,2.8027368528215977,2.7824999999999998,2.7439285714285715,2.808333333333333,0.6070444815065336
2010-10-14,2.8375,2.8425,2.7775,2.79,2.561184,59917200,3.0621495523050117,2.5861004476949883,2.824125,53.75724153393947,0.28644452568893003,0.038898594203161885,2.7815970015701534,2.7942456176071993,2.7925,2.7382142857142857,2.8154761904761907,0.5822156198526637
2010-10-15,2.835,2.8675,2.79,2.8225,2.591019,63994000,3.055519519401225,2.6112304805987754,2.833375,55.870482306296566,0.3771741754281263,0.03928013410844233,2.7878897705593606,2.813081872535733,2.7925,2.7564285714285717,2.824047619047619,0.6002091849006761
2010-10-18,2.825,2.8525,2.775,2.84,2.607083,44815600,3.0518176169511277,2.631182383048872,2.8415,57.00972139909048,0.4606963566923686,0.04052743592473407,2.7959067289348436,2.831027290845244,2.82625,2.7800000000000002,2.833690476190476,0.6097655716208942
2010-10-19,2.7775,2.8425,2.755,2.8225,2.591019,86613600,3.051817616951128,2.6311823830488725,2.8415000000000004,55.467630425909505,0.4927751068608921,0.039646804174823025,2.799998001406406,2.8253424302817476,2.8325,2.7953571428571427,2.840595238095238,0.6002091849006761
2010-10-20,2.825,2.9,2.775,2.8225,2.591019,76353200,3.050707240312614,2.6297927596873865,2.84025,55.467630425909505,0.780735419579331,0.038505035092415874,2.803459847343882,2.8234474767605824,2.8325,2.8125,2.840595238095238,0.6002091849006761
2010-10-21,2.825,2.83,2.73,2.7725,2.545119,101442800,3.0438538931141514,2.6233961068858487,2.833625,50.904927221817545,0.4212073100029016,0.03318307885870819,2.7986967939063616,2.7894824922535277,2.8425000000000002,2.815,2.8370238095238096,0.5723909794241455
2010-10-22,2.79,2.9725,2.76,2.95,2.708063,132267600,3.017784682480913,2.6379653175190865,2.8278749999999997,62.65062828150636,1.0,0.042794844443595714,2.82197421022846,2.8964941640845097,2.8425000000000002,2.8314285714285714,2.8391666666666664,0.6678293725756556
2010-10-25,2.9725,3.0,2.945,2.9775,2.733306,67313600,3.0127950214329884,2.640704978567011,2.8267499999999997,64.08428308727818,1.0,0.052031471674563345,2.845901254808697,2.9504980546948367,2.8425000000000002,2.858214285714286,2.835,0.6818334206596719
2010-10-26,2.9425,3.0125,2.9175,2.9675,2.724126,67524800,3.007362585486958,2.6436374145130417,2.8255,63.13524174532281,0.9467481813691443,0.057877473389144285,2.8646087540688976,2.9618326848982783,2.8425000000000002,2.878928571428571,2.833452380952381,0.6767637013094211
2010-10-27,2.94,3.02,2.9325,3.01,2.76314,49679600,3.016417971617316,2.6385820283826833,2.8274999999999997,65.47535277876706,1.0,0.0651884152066744,2.886976638058298,2.993944228299426,2.8425000000000002,2.9032142857142853,2.834285714285714,0.6981347220709843
2010-10-28,3.05,3.06,2.985,3.0125,2.765436,70444800,3.033962032033275,2.630287967966725,2.832125,65.6136288978011,1.0,0.07037290335195712,2.9062879245108677,3.0063147427664756,2.8425000000000002,2.930357142857143,2.8363095238095237,0.6993777303105815
2010-10-29,3.0075,3.0375,2.975,3.005,2.758552,55466400,3.055973896330858,2.6250261036691422,2.8405,64.77545459882921,0.9430150724764194,0.07303456325664337,2.921474397663042,3.0054382475888253,2.8425000000000002,2.9564285714285714,2.840357142857143,0.6956440607585325
2010-11-01,3.025,3.0725,2.985,3.01,2.76314,47392000,3.0776321201415624,2.6233678798584372,2.8505,65.09557561483669,0.9647791290912986,0.07468646701949799,2.9350937210994967,3.0084794158629418,2.8425000000000002,2.990357142857143,2.8485714285714288,0.6981347220709843
